epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,4149.82,0.89765,0.82959,0.96117,0.62447,0.50291,0.55718,0.3515,1.23909,1.24118,1.14258,0.000540607,0.000540607,0.000540607
92,4195.16,0.91926,0.83656,0.96431,0.60081,0.51762,0.53232,0.34865,1.23543,1.31427,1.15257,0.000538069,0.000538069,0.000538069
93,4240.17,0.8976,0.83665,0.9544,0.60192,0.49854,0.53225,0.35642,1.23778,1.34132,1.1362,0.000535532,0.000535532,0.000535532
94,4285.26,0.88907,0.79976,0.94925,0.62851,0.47898,0.55373,0.35351,1.21916,1.28362,1.15072,0.000532994,0.000532994,0.000532994
95,4330.63,0.8972,0.8186,0.96276,0.58087,0.48226,0.53925,0.33982,1.27516,1.39675,1.14998,0.000530456,0.000530456,0.000530456
96,4376.04,0.94054,0.85651,0.97132,0.45722,0.587,0.55638,0.35493,1.26176,1.31862,1.16668,0.000527919,0.000527919,0.000527919
97,4421.02,0.89125,0.81551,0.95711,0.49813,0.53253,0.52664,0.32715,1.30671,1.52206,1.18393,0.000525381,0.000525381,0.000525381
98,4466.18,0.88323,0.79345,0.96148,0.53426,0.55828,0.5628,0.39273,1.22325,1.36583,1.15766,0.000522843,0.000522843,0.000522843
99,4513.2,0.91163,0.83638,0.95921,0.58806,0.52146,0.54998,0.36551,1.23541,1.32051,1.15347,0.000520305,0.000520305,0.000520305
100,4558.81,0.88869,0.82432,0.95481,0.64701,0.50763,0.54284,0.33514,1.30321,1.34604,1.19839,0.000517768,0.000517768,0.000517768
101,4605.72,0.87056,0.79562,0.951,0.53373,0.54161,0.56078,0.36243,1.23482,1.34028,1.16718,0.00051523,0.00051523,0.00051523
102,4654.76,0.88437,0.79585,0.94487,0.5613,0.49975,0.5277,0.32908,1.26287,1.35795,1.16422,0.000512692,0.000512692,0.000512692
103,4702.34,0.89351,0.78924,0.95879,0.61163,0.47847,0.54638,0.36786,1.24861,1.34893,1.14844,0.000510155,0.000510155,0.000510155
104,4751.9,0.90117,0.78435,0.9507,0.46528,0.54625,0.5315,0.37844,1.22396,1.34378,1.14559,0.000507617,0.000507617,0.000507617
105,4802.09,0.87383,0.78088,0.94303,0.53112,0.52891,0.54055,0.38549,1.21743,1.33147,1.14081,0.000505079,0.000505079,0.000505079
106,4852.48,0.85568,0.76895,0.94267,0.50762,0.4784,0.52489,0.36191,1.25523,1.4592,1.1642,0.000502541,0.000502541,0.000502541
107,4902.42,0.88064,0.80457,0.95894,0.46198,0.58084,0.53873,0.35052,1.25191,1.36151,1.1533,0.000500004,0.000500004,0.000500004
108,4952.65,0.85757,0.7821,0.94687,0.57041,0.48847,0.51684,0.35025,1.26908,1.38019,1.1338,0.000497466,0.000497466,0.000497466
109,5001.77,0.88396,0.75948,0.94825,0.50799,0.51444,0.52596,0.35272,1.24108,1.38433,1.15463,0.000494928,0.000494928,0.000494928
110,5046.78,0.86411,0.75925,0.95099,0.5727,0.4671,0.54454,0.34285,1.20778,1.37321,1.14963,0.000492391,0.000492391,0.000492391
111,5091.44,0.86048,0.74588,0.94844,0.54681,0.5067,0.53738,0.34583,1.23094,1.35408,1.16755,0.000489853,0.000489853,0.000489853
112,5136.02,0.8572,0.74316,0.94261,0.618,0.51173,0.53718,0.33788,1.2177,1.32826,1.16367,0.000487315,0.000487315,0.000487315
113,5180.59,0.84805,0.72723,0.94563,0.5934,0.51084,0.53361,0.36827,1.22936,1.37129,1.14649,0.000484778,0.000484778,0.000484778
114,5225.01,0.8525,0.76172,0.93744,0.56872,0.53884,0.5361,0.35745,1.22428,1.41255,1.15057,0.00048224,0.00048224,0.00048224
115,5269.61,0.83391,0.75659,0.93236,0.58239,0.51768,0.52815,0.33473,1.2324,1.40951,1.14363,0.000479702,0.000479702,0.000479702
116,5314.13,0.8501,0.74732,0.94562,0.57042,0.52919,0.55414,0.35155,1.2498,1.35189,1.14922,0.000477165,0.000477165,0.000477165
117,5359,0.8593,0.73946,0.93876,0.52111,0.53877,0.55791,0.36272,1.22467,1.3707,1.14682,0.000474627,0.000474627,0.000474627
118,5403.67,0.85401,0.73941,0.94503,0.53889,0.54815,0.55304,0.3783,1.25958,1.41137,1.16629,0.000472089,0.000472089,0.000472089
119,5448.89,0.82519,0.69536,0.93849,0.63078,0.49002,0.55206,0.37712,1.25219,1.43739,1.15823,0.000469551,0.000469551,0.000469551
120,5493.47,0.82016,0.70299,0.92726,0.68985,0.45869,0.5421,0.36398,1.26403,1.51421,1.16003,0.000467014,0.000467014,0.000467014
121,5538.06,0.83036,0.7139,0.92788,0.67391,0.44979,0.54813,0.3705,1.25158,1.38199,1.15825,0.000464476,0.000464476,0.000464476
122,5582.52,0.83549,0.74736,0.9321,0.67221,0.48069,0.5429,0.36846,1.28516,1.46599,1.16097,0.000461938,0.000461938,0.000461938
123,5627.19,0.80214,0.70126,0.93142,0.58151,0.48005,0.53523,0.35217,1.24173,1.34788,1.14774,0.000459401,0.000459401,0.000459401
124,5671.18,0.8013,0.71515,0.92622,0.49748,0.5582,0.54717,0.38758,1.20938,1.34221,1.13944,0.000456863,0.000456863,0.000456863
125,5715.83,0.83912,0.72234,0.94192,0.50639,0.53879,0.54583,0.35308,1.23543,1.40739,1.16465,0.000454325,0.000454325,0.000454325
126,5760.33,0.82267,0.71159,0.92683,0.60321,0.49205,0.55819,0.34187,1.24605,1.37495,1.17174,0.000451787,0.000451787,0.000451787
127,5805.06,0.81401,0.73153,0.94138,0.53468,0.57293,0.55607,0.33476,1.22197,1.42171,1.16957,0.00044925,0.00044925,0.00044925
128,5849.63,0.8093,0.708,0.93045,0.59371,0.52604,0.569,0.3598,1.21767,1.41598,1.17023,0.000446712,0.000446712,0.000446712
129,5894.71,0.78951,0.70358,0.92839,0.52828,0.48991,0.54713,0.35819,1.23514,1.40194,1.14989,0.000444174,0.000444174,0.000444174
130,5939.19,0.81917,0.68998,0.92538,0.57659,0.52295,0.54109,0.37791,1.20063,1.42637,1.13649,0.000441637,0.000441637,0.000441637
131,5983.25,0.80877,0.69871,0.92919,0.55786,0.53488,0.54833,0.36072,1.23219,1.39621,1.15417,0.000439099,0.000439099,0.000439099
132,6027.75,0.8126,0.68519,0.93282,0.55941,0.5344,0.53495,0.36807,1.20349,1.41563,1.13191,0.000436561,0.000436561,0.000436561
133,6072.37,0.8152,0.68311,0.9297,0.66972,0.49816,0.54584,0.3597,1.2525,1.45045,1.15238,0.000434024,0.000434024,0.000434024
134,6116.68,0.80882,0.68163,0.93659,0.58075,0.5103,0.55869,0.36307,1.24071,1.44299,1.18938,0.000431486,0.000431486,0.000431486
135,6160.84,0.81004,0.67887,0.93415,0.59966,0.49123,0.54884,0.36092,1.21635,1.42535,1.16703,0.000428948,0.000428948,0.000428948
136,6205.48,0.79109,0.67327,0.93007,0.49624,0.52845,0.52322,0.36023,1.23003,1.45083,1.16279,0.000426411,0.000426411,0.000426411
137,6249.8,0.78967,0.68689,0.92193,0.53291,0.48243,0.53661,0.35155,1.29359,1.47534,1.19422,0.000423873,0.000423873,0.000423873
138,6293.97,0.81128,0.67244,0.9229,0.54101,0.5461,0.54258,0.34873,1.25988,1.4924,1.17954,0.000421335,0.000421335,0.000421335
139,6338.81,0.80067,0.67073,0.92873,0.56899,0.48978,0.52579,0.35081,1.23665,1.51383,1.15987,0.000418797,0.000418797,0.000418797
140,6383.36,0.78882,0.68883,0.93064,0.49838,0.54487,0.52945,0.34514,1.22587,1.43419,1.16651,0.00041626,0.00041626,0.00041626
141,6427.73,0.79165,0.66566,0.92584,0.46858,0.53377,0.55361,0.3736,1.25307,1.40368,1.15022,0.000413722,0.000413722,0.000413722
142,6472.35,0.77894,0.65225,0.92623,0.48835,0.56668,0.55481,0.35901,1.2503,1.38899,1.14548,0.000411184,0.000411184,0.000411184
143,6517.38,0.7984,0.65907,0.92203,0.52203,0.55234,0.56413,0.38291,1.27661,1.50385,1.19141,0.000408647,0.000408647,0.000408647
144,6562.95,0.78312,0.65248,0.92656,0.50026,0.55776,0.54274,0.36624,1.2656,1.46042,1.1757,0.000406109,0.000406109,0.000406109
145,6608.2,0.79295,0.65643,0.92306,0.60676,0.50427,0.5599,0.36946,1.24019,1.41309,1.17423,0.000403571,0.000403571,0.000403571
146,6653.91,0.77052,0.64128,0.92028,0.4745,0.54528,0.54646,0.37051,1.2374,1.50912,1.15099,0.000401033,0.000401033,0.000401033
147,6699.52,0.77157,0.64624,0.91575,0.53567,0.53745,0.54782,0.3721,1.22532,1.37791,1.15397,0.000398496,0.000398496,0.000398496
148,6744.78,0.764,0.62458,0.915,0.45539,0.55311,0.52519,0.35779,1.25298,1.46401,1.13576,0.000395958,0.000395958,0.000395958
149,6790.43,0.78519,0.65254,0.92357,0.46235,0.55763,0.52351,0.35488,1.2665,1.44624,1.16443,0.00039342,0.00039342,0.00039342
150,6836.33,0.7884,0.62998,0.91456,0.51422,0.54396,0.55393,0.35901,1.2716,1.47169,1.17083,0.000390883,0.000390883,0.000390883
151,6882.03,0.7721,0.62935,0.91318,0.45603,0.60317,0.54608,0.35502,1.25453,1.47504,1.14903,0.000388345,0.000388345,0.000388345
152,6927.56,0.77509,0.64382,0.91834,0.49186,0.5756,0.5559,0.36144,1.21297,1.43435,1.14861,0.000385807,0.000385807,0.000385807
153,6973.05,0.75694,0.62502,0.90721,0.52301,0.58283,0.48317,0.3134,1.23783,1.36606,1.16258,0.00038327,0.00038327,0.00038327
154,7018.32,0.76675,0.61659,0.92341,0.5069,0.53755,0.55455,0.36082,1.21257,1.39413,1.14175,0.000380732,0.000380732,0.000380732
155,7063.59,0.75902,0.63542,0.91762,0.45688,0.55824,0.53369,0.32889,1.20022,1.40891,1.13423,0.000378194,0.000378194,0.000378194
156,7109.11,0.75532,0.6086,0.9069,0.57917,0.54192,0.56502,0.35759,1.19415,1.40061,1.14213,0.000375656,0.000375656,0.000375656
157,7154.52,0.75992,0.63111,0.90902,0.63201,0.46809,0.52341,0.3443,1.22202,1.48547,1.13679,0.000373119,0.000373119,0.000373119
